Game_Name,Game_Price,Game_Genre,Game_URL
Lina: Witches Of The Moon,$1.50,Action,https://achie.itch.io/lina-witches-of-the-moon
IceCream Van,N/A,Action,https://playmedusa.itch.io/icecream-van
Don't Shit Your Pants: PICO-8 Edition,N/A,Adventure,https://princesschoochoo.itch.io/dont-shit-your-pants-pico-8-edition
BEARRL,N/A,Survival,https://zappedcow.itch.io/bearrl
Toastling,N/A,Platformer,https://rarelikeaunicorn.itch.io/toastling
The Pixel Bro,N/A,Adventure,https://egordorichev.itch.io/pixel-bro
Pico Pico MicroMix,N/A,Rhythm,https://starsculptor.itch.io/picopicomicromix
Very Normal Shooter,N/A,Shooter,https://sixrobin.itch.io/verynormalshooter
The Lost Strawberry,N/A,Platformer,https://egordorichev.itch.io/lost-strawberry
Station-8,N/A,Platformer,https://klehrik.itch.io/station-8
Lowrez dungeon,N/A,Role Playing,https://egordorichev.itch.io/lowrez-dungeon
Moonrace,N/A,N/A,https://benjamin-soul.itch.io/moonrace
WrongKynd,N/A,Action,https://atygeek.itch.io/wrongkynd
Ranata the Frog and the Broken Forest,$1,Platformer,https://omael.itch.io/ranata
BuzzKill,N/A,Shooter,https://morningtoast.itch.io/buzzkill
Ninjoe In The Dragon's Lair,N/A,Platformer,https://pixelshock.itch.io/ninjoe-in-the-dragons-lair
A Dream's Command,N/A,Role Playing,https://jusiv.itch.io/a-dreams-command
Friendly Dungeon,N/A,Survival,https://guerragames.itch.io/friendlydungeon
Terry the Turtle's Big Adventure,N/A,Platformer,https://mush101.itch.io/terry-the-turtles-big-adventure
Alien Harvest,N/A,Adventure,https://morningtoast.itch.io/alien-harvest
Bomber's Run,N/A,Platformer,https://melvinsamuel.itch.io/bombers-run
CIPHER-8,N/A,Puzzle,https://ludokultur.itch.io/cipher-8
PixelTown,N/A,N/A,https://nextlevelbanana.itch.io/pixeltown
Super Mega Bread,$1,Platformer,https://jclermont.itch.io/super-mega-bread
Myrtle Takes The City,N/A,Adventure,https://paloblancogames.itch.io/myrtle-takes-the-city
Rythm is Lava,N/A,Puzzle,https://egordorichev.itch.io/rythm-is-lava
Pico Dino,N/A,Platformer,https://yolwoocle.itch.io/pico-dino
UFO puzzle packing!,N/A,Puzzle,https://zahranworrell.itch.io/ufopp
Worm Nom Nom,N/A,Action,https://tictactoad.itch.io/worm-nom-nom
Pinballvania!,N/A,Action,https://guerragames.itch.io/pinballvania
PicoQuest: Darkness Rising,$1.49,Role Playing,https://ryancavendell.itch.io/picoquest-darkness-rising
Brick Tickler,N/A,Action,https://fistfulofsquid.itch.io/brick-tickler
Tiny Sim,N/A,Simulation,https://freds72.itch.io/tiny-sim
Astropocalypse,N/A,Action,https://picoter8.itch.io/astropocalypse
Mini Mortal Kombat,N/A,Action,https://burningout.itch.io/mini-mortal-kombat
Killager,N/A,Adventure,https://egordorichev.itch.io/killager
The Serpent's Shadow,N/A,Puzzle,https://nusan.itch.io/the-serpents-shadow
Sokosoko,N/A,Puzzle,https://juner.itch.io/sokosoko
Cyclo 8,N/A,Platformer,https://nusan.itch.io/cyclo-8
Tomato Worm,N/A,Puzzle,https://guerragames.itch.io/tomatoworm
Violent Cheese Crusader,N/A,Action,https://jojee.itch.io/violent-cheese-crusader
Don't Dig Up the Dead,N/A,Adventure,https://morningtoast.itch.io/dont-dig-up-the-dead
Return of the SLIMEPIRES!,N/A,Platformer,https://sophieh.itch.io/return-of-the-slimepires
Pico Nations,N/A,Strategy,https://martinjw.itch.io/pico-nations
Fruit Thieves,N/A,Action,https://egordorichev.itch.io/fruit-thieves
Hyperspace Services,N/A,N/A,https://thecunningfolk.itch.io/hyperspace-services
Snowball Showdown,N/A,N/A,https://aylanonsense.itch.io/snowball-showdown
A Very Warm Fire,N/A,Survival,https://jusiv.itch.io/a-very-warm-fire
League of PICO (game jam version),N/A,Action,https://wombart.itch.io/league-of-pico
TRITRIS ORANGE,N/A,Puzzle,https://frogmen.itch.io/tritris-orange
Forgotten Hill Pico,N/A,Adventure,https://fm-studio.itch.io/forgotten-hill-pico
Yarn!,N/A,Platformer,https://kevinthompson.itch.io/yarn
#hasicontent,N/A,N/A,https://lu-bu.itch.io/hasicontent
Spirit Solstice,N/A,Adventure,https://jusiv.itch.io/spirit-solstice
TORRE TACTICS,$5,Strategy,https://calixjumio.itch.io/torre
Pico Piñata,N/A,Action,https://fayer.itch.io/pico-pinata
Minball 552,N/A,Platformer,https://gamedevbrook.itch.io/minball
SUPER FUNKY BALL!,N/A,Action,https://ctinney94.itch.io/super-funky-ball
Santa's Silent Night,N/A,Action,https://ryancavendell.itch.io/santas-silent-night
OLDEN PEAK,N/A,Action,https://abhimonk.itch.io/olden-peak
Perfectly Normal Apartment,N/A,Adventure,https://nextlevelbanana.itch.io/perfectly-normal-apartment
NOG Arcade,$1.49,Action,https://ryancavendell.itch.io/nog-arcade
Super Loot Bros,N/A,Adventure,https://egordorichev.itch.io/super-loot-bros
Legend of Hippo,N/A,Action,https://elastiskalinjen.itch.io/legend-of-hippo
Forever Lost In The Never Ending Museum Of Still Life,N/A,Adventure,https://jlalleve.itch.io/forever-lost-in-the-never-ending-museum-of-still-life
Tiny Coliseum (Gamejam version),N/A,Action,https://wombart.itch.io/tiny-coliseum
Snipe,N/A,Strategy,https://jaydedcompanion.itch.io/snipe
The Lost Strawberry X-Mas Edition,N/A,Platformer,https://egordorichev.itch.io/lost-strawberry-x-mas
Goblin's Gold,N/A,Strategy,https://playmedusa.itch.io/goblins-gold
Blastingbot Blowback,N/A,Puzzle,https://poodlepilot.itch.io/blastingbot
Hilda (PICO-8),N/A,Puzzle,https://grumpus.itch.io/hilda-pico-8
Pico Dungeon,N/A,Role Playing,https://stealthix.itch.io/pico-dungeon
512px under,N/A,Platformer,https://pck404.itch.io/512px-under
Burger Massacre,N/A,N/A,https://shnilsen.itch.io/burgermassacre
Pilot8,N/A,Action,https://btco.itch.io/pilot8
Caterwaul,N/A,Rhythm,https://moult.itch.io/caterwaul
"HI, Robot",N/A,Puzzle,https://codekitchen.itch.io/hi-robot
ARCANE NECTAR,N/A,Adventure,https://dogsplusplus.itch.io/arcane-nectar
Tiny Rogue,$2.99,Role Playing,https://ryancavendell.itch.io/tiny-rogue
Speed Pool #Pico1K,N/A,Sports,https://liquidream.itch.io/speed-pool-1k
Defender for Pico8,N/A,Action,https://hijong-park.itch.io/defender-for-pico8
Anteform,N/A,Role Playing,https://feneric.itch.io/anteform
Kelin's Delivery: Rain,N/A,Adventure,https://vsioneithr.itch.io/kelins-delivery-rain
unrogue,N/A,Action,https://dunin.itch.io/unrogue
Cross,N/A,Puzzle,https://juner.itch.io/cross
