Game_Name,Game_Price,Game_Genre,Game_URL
Planet generator,N/A,N/A,https://egordorichev.itch.io/planet-generator
Santa's Silent Night,N/A,Action,https://ryancavendell.itch.io/santas-silent-night
Perfectly Normal Apartment,N/A,Adventure,https://nextlevelbanana.itch.io/perfectly-normal-apartment
NOG Arcade,$1.49,Action,https://ryancavendell.itch.io/nog-arcade
Anteform,N/A,Role Playing,https://feneric.itch.io/anteform
Super Loot Bros,N/A,Adventure,https://egordorichev.itch.io/super-loot-bros
Rhythm Frog,N/A,Rhythm,https://giacomopc.itch.io/rhythm-frog
Legend of Hippo,N/A,Action,https://elastiskalinjen.itch.io/legend-of-hippo
Forever Lost In The Never Ending Museum Of Still Life,N/A,Adventure,https://jlalleve.itch.io/forever-lost-in-the-never-ending-museum-of-still-life
Tiny Coliseum (Gamejam version),N/A,Action,https://wombart.itch.io/tiny-coliseum
Snipe,N/A,Strategy,https://jaydedcompanion.itch.io/snipe
The Lost Strawberry X-Mas Edition,N/A,Platformer,https://egordorichev.itch.io/lost-strawberry-x-mas
Tower Noire,N/A,Role Playing,https://cow.itch.io/tower-noire
Hilda (PICO-8),N/A,Puzzle,https://grumpus.itch.io/hilda-pico-8
Cross,N/A,Puzzle,https://juner.itch.io/cross
picoRacer 2048,N/A,Sports,https://impbox.itch.io/picoracer2048
Pico Dungeon,N/A,Role Playing,https://stealthix.itch.io/pico-dungeon
Blastingbot Blowback,N/A,Puzzle,https://poodlepilot.itch.io/blastingbot
512px under,N/A,Platformer,https://pck404.itch.io/512px-under
Time Thief,N/A,Adventure,https://matheusmortatti.itch.io/time-thief
Burger Massacre,N/A,N/A,https://shnilsen.itch.io/burgermassacre
Tonari no Totoro - Fan Game,N/A,N/A,https://johan-aronson.itch.io/tonari-no-totoro-fan-game
Pilot8,N/A,Action,https://btco.itch.io/pilot8
Nuklear Klone,N/A,Action,https://freds72.itch.io/nuklear-klone
pod3x3,$3,Strategy,https://catnip.itch.io/pod3x3
"HI, Robot",N/A,Puzzle,https://codekitchen.itch.io/hi-robot
ARCANE NECTAR,N/A,Adventure,https://dogsplusplus.itch.io/arcane-nectar
Speed Pool #Pico1K,N/A,Sports,https://liquidream.itch.io/speed-pool-1k
Kelin's Delivery: Rain,N/A,Adventure,https://vsioneithr.itch.io/kelins-delivery-rain
unrogue,N/A,Action,https://dunin.itch.io/unrogue
St. Nick's: Dash Away All!,N/A,Platformer,https://mhughson.itch.io/st-nicks-dash-away-all
TRIHARD,N/A,Action,https://n0ba.itch.io/trihard
Nano4x: Supremacy,$1.49,Strategy,https://ryancavendell.itch.io/nano4x-supremacy
Vortex Invader,N/A,Shooter,https://guerragames.itch.io/vortex-invader
The Garden,N/A,Puzzle,https://alex1197.itch.io/the-garden
The Pixel Maze: 1-bit Adventure Game,N/A,Adventure,https://oneearedrabbit.itch.io/the-pixel-maze
WOBOLOB CLASSIC,N/A,Sports,https://01010111.itch.io/wobolob-classic
